,y,x
0,0.1,0.2
1,338.8,337.4
2,118.1,118.2
3,888.0,884.6
4,9.2,10.1
5,228.1,226.5
6,668.5,666.3
7,998.5,996.3
8,449.1,448.6
9,778.9,777.0
10,559.2,558.2
11,0.3,0.4
12,0.1,0.6
13,778.1,775.5
14,668.8,666.9
15,339.3,338.0
16,448.9,447.5
17,10.8,11.6
18,557.7,556.0
19,228.3,228.1
20,998.0,995.8
21,888.8,887.6
22,119.6,120.2
23,0.3,0.3
24,0.6,0.3
25,557.6,556.8
26,339.3,339.1
27,888.0,887.2
28,998.5,999.0
29,778.9,779.0
30,10.2,11.1
31,117.6,118.3
32,228.9,229.2
33,668.4,669.1
34,449.2,448.9
35,0.2,0.5
