time (sec),x (pixels),y (pixels)
0.00000,347.397,11.801
0.15452,722.760,60.761
0.26375,748.770,66.665
0.32808,598.070,28.983
0.40682,384.457,11.128
0.47169,174.040,31.777
0.53673,34.850,68.942
0.61527,2.140,79.954
0.69333,47.870,62.731
0.80750,430.717,11.692
0.88704,628.640,37.129
0.95231,751.180,69.041
1.01490,770.170,73.364
1.09450,696.460,51.418
1.15960,518.170,17.433
1.22240,304.733,14.034
1.30260,116.100,44.414
1.36680,16.930,74.353
1.43050,12.620,74.804
1.49560,104.410,46.647
1.57580,297.000,14.966
1.63860,507.640,17.631
1.70260,678.920,49.218
1.78280,759.350,70.479
1.84640,745.830,64.521
1.94390,554.930,21.501
2.04240,263.170,17.772
2.10370,97.220,49.838
2.18250,17.110,74.043
2.24690,28.710,68.793
2.31070,150.850,35.059
2.37470,345.557,12.098
2.45590,546.720,22.364
2.55510,698.260,53.507
2.66520,719.120,56.627
2.73960,584.420,25.792
2.85580,195.680,28.033
2.93490,57.980,60.609
2.99890,25.100,71.285
3.06290,78.740,52.940
3.14320,227.250,22.315
3.20700,426.385,12.081
3.27170,607.780,32.067
3.33550,724.390,60.033
3.41560,741.900,63.766
3.48020,668.660,43.071
3.54540,507.710,15.597
3.62310,311.203,13.628
3.68870,140.860,39.196
3.75090,43.220,64.916
3.83460,40.000,65.209
3.89850,134.370,39.128
3.96290,306.900,14.650
4.02700,501.490,17.013
4.10430,656.330,42.003
4.16800,731.840,61.560
4.23970,720.160,57.368
4.31130,607.280,29.448
4.37610,428.974,10.819
4.43970,240.140,21.112
4.50330,101.630,48.987
4.58290,48.370,64.869
4.64800,72.160,55.688
4.71110,201.900,26.241
4.79130,386.725,11.412
4.85480,568.990,25.495
4.91890,692.880,51.047
4.98410,725.050,58.533
5.06290,678.840,45.590
5.12710,536.690,18.668
5.19250,350.896,11.613
5.27290,176.360,32.038
5.33510,72.670,57.143
5.39940,58.490,60.729
5.46650,119.720,43.393
5.54430,277.610,16.828
5.60710,462.990,13.167
5.67240,623.550,35.040
5.74980,710.530,55.093
5.81530,711.590,54.438
5.87900,625.120,33.403
5.95880,460.129,12.240
6.02590,278.730,16.576
6.08770,129.020,42.113
6.15280,66.130,59.107
6.24730,112.080,44.759
6.36120,324.466,12.994
6.42490,505.120,16.646
6.48840,642.050,38.589
6.55260,706.650,53.569
6.61750,698.420,51.114
6.68110,597.480,27.767
6.75790,434.942,11.033
6.82310,258.660,18.657
6.89100,125.540,43.333
