time	price	quantity	board	source	buyer	seller	initiator
20141013T153000	451.25	100		Auto trade			
20141013T153000	451.2	392		Auto trade			
20141013T153000	451.21	100		Auto trade			
20141013T153000	451.11	100		Auto trade			
20141013T153000	451.12	100		Auto trade			
20141013T153000	450.74	100		Auto trade			
20141013T153000	450.92	100		Auto trade			
20141013T153000	450.27	100		Auto trade			
20141013T153000	450.81	100		Auto trade			
20141013T153000	451.04	6234		Auto trade			
20141013T153000	451.	100		Auto trade			
20141013T153001	451.02	100		Auto trade			
20141013T153001	450.8	100		Auto trade			
20141013T153001	451.04	100		Auto trade			
20141013T153001	451.08	100		Auto trade			
20141013T153001	451.02	100		Auto trade			
20141013T153002	451.44	100		Auto trade			
20141013T153002	451.38	300		Auto trade			
20141013T153002	451.72	100		Auto trade			
20141013T153002	451.71	100		Auto trade			
20141013T153002	451.72	100		Auto trade			
20141013T153003	451.86	100		Auto trade			
20141013T153003	451.27	100		Auto trade			
20141013T153003	451.21	100		Auto trade			
20141013T153004	451.15	100		Auto trade			
20141013T153016	451.13	100		Auto trade			
20141013T153019	451.36	100		Auto trade			
20141013T153020	451.29	100		Auto trade			
20141013T153020	451.33	100		Auto trade			
20141013T153030	451.57	100		Auto trade			
20141013T153030	451.61	100		Auto trade			
20141013T153035	451.92	100		Auto trade			
20141013T153040	451.88	100		Auto trade			
20141013T153046	451.28	100		Auto trade			
20141013T153055	451.9531	100		Auto trade			
20141013T153111	451.58	100		Auto trade			
20141013T153115	451.61	100		Auto trade			
20141013T153118	451.61	316		Auto trade			
20141013T153121	451.43	100		Auto trade			
20141013T153121	451.44	100		Auto trade			
20141013T153121	451.4	100		Auto trade			
20141013T153121	451.34	100		Auto trade			
20141013T153121	451.44	200		Auto trade			
20141013T153121	451.43	100		Auto trade			
20141013T153121	451.44	100		Auto trade			
20141013T153121	451.27	100		Auto trade			
20141013T153121	451.44	100		Auto trade			
20141013T153124	451.28	400		Auto trade			
20141013T153124	451.44	100		Auto trade			
20141013T153124	451.61	400		Auto trade			
20141013T153124	451.27	100		Auto trade			
20141013T153125	451.304	100		Auto trade			
20141013T153125	451.44	100		Auto trade			
20141013T153125	451.27	100		Auto trade			
20141013T153126	451.2875	100		Auto trade			
20141013T153126	451.44	100		Auto trade			
20141013T153126	451.28	100		Auto trade			
20141013T153126	451.27	100		Auto trade			
20141013T153126	451.295	100		Auto trade			
20141013T153127	451.27	100		Auto trade			
20141013T153127	451.4363	1000		Auto trade			
20141013T153127	451.32	350		Auto trade			
20141013T153128	451.27	150		Auto trade			
20141013T153130	451.25	990		Auto trade			
20141013T153130	451.43	400		Auto trade			
20141013T153130	451.36	300		Auto trade			
20141013T153130	451.11	100		Auto trade			
20141013T153130	451.02	100		Auto trade			
20141013T153130	451.15	200		Auto trade			
20141013T153132	451.11	100		Auto trade			
