Time,Detections
735135.2917,7
735135.2917,7
735135.2918,5
735135.2919,8
735135.2919,8
735135.292,4
735135.292,4
735135.2921,11
735135.2922,6
735135.2922,5
735135.2923,11
735135.2923,7
735135.2924,9
735135.2924,3
735135.2925,10
735135.2926,8
735135.2926,6
735135.2927,12
735135.2927,10
735135.2928,3
735135.2928,13
735135.2929,5
735135.293,7
735135.293,7
735135.2931,2
735135.2931,10
735135.2932,7
735135.2933,4
735135.2933,8
735135.2934,5
735135.2934,6
735135.2935,3
735135.2935,5
735135.2936,4
735135.2937,10
735135.2937,11
735135.2938,8
735135.2938,9
735135.2939,4
735135.2939,6
735135.294,8
735135.2941,5
735135.2941,3
735135.2942,5
735135.2942,6
735135.2943,4
735135.2944,5
735135.2944,7
735135.2945,4
735135.2945,8
735135.2946,5
735135.2946,9
735135.2947,10
735135.2948,11
735135.2948,5
735135.2949,5
735135.2949,10
735135.295,9
735135.295,9
735135.2951,9
735135.2952,2
735135.2952,9
735135.2953,6
735135.2953,5
735135.2954,7
735135.2955,1
735135.2955,6
735135.2956,10
735135.2956,5
735135.2957,10
735135.2957,4
735135.2958,10
735135.2959,10
735135.2959,7
735135.296,6
735135.296,5
735135.2961,8
735135.2961,3
735135.2962,5
735135.2963,10
735135.2963,4
735135.2964,8
735135.2964,5
735135.2965,10
735135.2966,11
735135.2966,11
735135.2967,9
735135.2967,8
735135.2968,7
735135.2968,5
735135.2969,5
735135.297,8
735135.297,6
735135.2971,6
735135.2971,3
735135.2972,8
735135.2972,2
735135.2973,8
735135.2974,5
735135.2974,3
735135.2975,3
735135.2975,3
735135.2976,13
735135.2977,6
735135.2977,11
735135.2978,7
735135.2978,3
735135.2979,3
735135.2979,7
735135.298,11
735135.2981,7
735135.2981,6
735135.2982,6
735135.2982,11
735135.2983,9
735135.2983,2
735135.2984,6
735135.2985,5
735135.2985,5
735135.2986,5
735135.2986,2
735135.2987,6
735135.2988,5
735135.2988,8
735135.2989,7
735135.2989,6
735135.299,11
735135.299,6
735135.2991,8
735135.2992,9
735135.2992,10
735135.2993,9
735135.2993,3
735135.2994,10
735135.2994,4
735135.2995,6
735135.2996,4
735135.2996,6
735135.2997,13
735135.2997,10
735135.2998,7
735135.2998,2
735135.2999,8
