time,theta
0,-2.378127688
0.15452,16.72052563
0.26375,18.05547208
0.32808,10.25582045
0.40682,-0.517824751
0.47169,-11.14141091
0.53673,-18.37363786
0.61527,-20.10515646
0.69333,-17.65654564
0.8075,1.804509067
0.88704,11.84121695
0.95231,18.2075584
1.0149,19.17988374
1.0945,15.32148389
1.1596,6.20402081
1.2224,-4.521765237
1.3026,-14.11567532
1.3668,-19.31207178
1.4305,-19.52334595
1.4956,-14.7110675
1.5758,-4.912289855
1.6386,5.679206491
1.7026,14.44151855
1.7828,18.61953169
1.8464,17.88208747
1.9439,8.059321351
2.0424,-6.61505041
2.1037,-15.10057314
2.1825,-19.29841434
2.2469,-18.66314052
2.3107,-12.31298294
2.3747,-2.471019422
2.4559,7.656978422
2.5551,15.43645797
2.6652,16.48614246
2.7396,9.553789082
2.8558,-10.03982848
2.9349,-17.14123617
2.9989,-18.8746086
3.0629,-16.03455448
3.1432,-8.430804137
3.207,1.587685674
3.2717,10.76338969
3.3355,16.78838767
3.4156,17.68294793
3.4802,13.86650959
3.5454,5.672605974
3.6231,-4.196561599
3.6887,-12.84695215
3.7509,-17.91186596
3.8346,-18.0698628
3.8985,-13.16324336
3.9629,-4.415754918
4.027,5.368707103
4.1043,13.25251031
4.168,17.16839902
4.2397,16.54669817
4.3113,10.71425148
4.3761,1.715745282
4.4397,-7.78220959
4.5033,-14.87580585
4.5829,-17.66518024
4.648,-16.38950488
4.7111,-9.717071594
4.7913,-0.404088855
4.8548,8.78685497
4.9189,15.14320329
4.9841,16.79834531
5.0629,14.39227365
5.1271,7.133876637
5.1925,-2.202307569
5.2729,-11.02970056
5.3351,-16.38555445
5.3994,-17.11856888
5.4665,-13.92717398
5.5443,-5.889780012
5.6071,3.426217574
5.6724,11.56946468
5.7498,16.05104402
5.8153,16.09303224
5.879,11.63012809
5.9588,3.280180504
6.0259,-5.832582816
6.0877,-13.45876048
6.1528,-16.72821169
6.2473,-14.3152661
6.3612,-3.530432724
6.4249,5.548421738
6.4884,12.51527553
6.5526,15.84289959
6.6175,15.41225109
6.6811,10.21586257
6.7579,2.015291538
6.8231,-6.844920866
6.891,-13.64289749
6.9677,-16.54361751
7.0341,-15.44384066
7.0981,-9.226615869
7.1755,-0.740767946
7.2404,7.814875231
7.3061,13.85902912
7.3681,15.61095912
7.4474,13.53439683
7.5116,6.830634003
7.5751,-1.732037005
7.6554,-9.922923246
7.7207,-14.98924196
7.7835,-15.74372948
7.8483,-12.93888707
7.927,-5.688626926
7.9919,2.942867715
8.0559,10.58706524
8.1351,14.80633915
8.1994,14.91606756
8.2692,10.86397745
8.4107,-5.222076277
8.4868,-12.35515456
8.6163,-14.9305025
8.6819,-10.05769474
8.7471,-1.955780074
8.8204,6.289129532
8.8907,12.6030512
8.955,14.77116867
9.0153,13.32565682
9.0946,7.599840962
9.1605,-0.500946665
9.224,-8.401275107
9.2872,-14.05935426
9.3667,-15.38915034
9.4316,-12.74492305
9.4966,-6.480893127
9.5755,1.690706081
9.6405,9.105070379
9.708,13.79444962
9.7825,14.33325609
9.8487,10.95496458
9.9135,4.12292104
9.977,-3.939086474
10.055,-10.81809788
10.12,-14.63426084
10.184,-14.51347707
10.263,-10.1437376
10.328,-2.885014712
10.392,5.077358047
10.456,11.36717749
10.537,14.07198148
10.6,13.18342024
10.664,8.026293111
10.744,0.567632223
10.807,-7.180719221
10.871,-12.68572493
10.934,-14.6526106
11.014,-13.05421799
11.08,-6.988804667
11.144,0.665940161
11.223,7.990734032
11.288,12.80618903
11.352,13.70893214
11.415,11.12169758
11.495,4.801308231
11.563,-2.881034455
11.626,-9.904539743
11.703,-13.7151009
11.768,-13.90518813
11.831,-10.55131978
11.91,-3.625620317
11.974,3.980980046
12.04,10.32144206
12.103,13.33141518
12.183,12.84818946
12.248,8.472724338
12.314,1.36616022
12.391,-6.037300636
12.456,-11.84858015
12.52,-13.78383438
12.584,-12.49246276
12.663,-7.502790338
12.729,-0.23147836
12.795,6.960496448
12.871,11.93582524
12.936,13.12453632
13,11.01392849
13.064,5.319946428
13.143,-2.025725258
13.207,-8.713894132
13.27,-13.01557635
13.351,-13.49989412
13.416,-10.30081707
13.48,-4.169904981
13.544,3.091010227
13.624,9.30825311
13.688,12.63425173
13.752,12.46025869
13.831,8.557396286
13.905,2.00280567
13.967,-5.100641965
14.029,-10.6563974
14.103,-13.14630417
14.167,-12.37985272
14.231,-7.617597431
14.31,-0.856220702
14.375,6.083600466
14.439,11.08280191
14.518,12.53492479
14.583,10.91362713
14.647,5.648556035
14.711,-1.293436839
14.792,-7.963541824
14.855,-12.11516108
14.923,-12.77301045
14.998,-10.4482467
15.063,-4.568909399
15.131,2.371738084
15.196,8.542935955
15.27,11.95097812
15.336,12.01610874
15.401,8.661958016
15.48,2.484278957
15.547,-4.356126464
15.612,-10.11424734
15.678,-12.58492163
15.751,-12.02650841
15.816,-8.019330944
15.882,-1.389928953
15.959,5.321055093
16.025,10.33079379
16.091,11.96710608
16.154,10.68286766
16.231,5.913916524
16.295,-0.756747629
16.359,-7.136491664
16.438,-11.54125272
16.503,-12.48787042
16.568,-10.11550582
16.647,-4.890067898
16.711,1.766209931
16.775,7.78016295
16.841,11.33072689
16.919,11.56820546
16.984,8.602996185
17.048,2.8602469
17.127,-3.737024931
17.191,-9.156426904
17.257,-11.98063267
17.322,-11.6435168
17.399,-7.780862302
17.465,-1.761088918
17.529,4.687690489
17.606,9.650721021
17.67,11.48418244
17.735,10.44870476
17.799,6.036950987
17.879,-0.273591252
17.942,-6.606629066
18.008,-10.83307122
18.087,-11.84654204
18.152,-10.13669981
18.217,-5.037115954
18.28,1.306666139
18.362,7.162761871
18.434,10.75237929
18.499,11.14120109
18.567,8.542418809
18.632,3.111717115
18.697,-3.229597308
18.763,-8.774869777
18.839,-11.4661423
18.909,-11.25641012
18.974,-7.992662193
19.047,-2.085002801
19.114,4.164630797
19.181,9.068336417
19.254,10.9890611
19.321,10.15209018
19.383,6.069210914
19.447,0.078855789
19.526,-5.89383312
19.591,-10.28111511
19.655,-11.43185565
19.734,-9.719601832
19.798,-5.193013595
19.869,0.894631637
19.932,6.62454052
20.005,10.21776912
20.071,10.71150994
20.134,8.381631965
20.214,3.288501661
20.279,-2.835423586
20.342,-8.024672123
20.406,-10.98527279
20.486,-10.9199059
20.55,-7.666626848
20.621,-2.29156813
20.694,3.731575979
20.759,8.516480139
20.822,10.54931667
20.887,9.855633494
20.966,6.061148938
21.037,0.375003806
21.104,-5.575803737
21.176,-9.742047118
21.24,-10.9147384
21.303,-9.65583819
21.383,-5.186943483
21.448,0.62249786
21.511,6.156176755
21.575,9.738890608
21.655,10.32279755
21.719,8.228160828
21.782,3.398585532
21.863,-2.480151059
21.929,-7.748444297
21.992,-10.50691218
22.056,-10.51768921
22.135,-7.772731724
22.199,-2.445931873
22.263,3.365992691
22.342,8.068782066
22.406,10.12683756
22.47,9.564829983
22.535,6.002887072
22.615,0.535830216
22.68,-5.047994229
22.743,-9.295840506
22.822,-10.59212088
22.887,-9.238824957
22.951,-5.267933912
23.014,0.352956964
23.094,5.771559581
23.159,9.326738385
23.223,9.998334341
23.303,8.056424175
23.367,3.438232239
23.431,-2.27478783
23.496,-7.23407052
23.573,-9.919847596
23.638,-9.979022592
23.703,-7.48688834
23.783,-2.578957486
23.849,3.06032199
23.923,7.671227555
23.998,9.788189569
24.066,9.29744412
24.134,5.95351102
24.265,-4.782140728
24.335,-8.735817548
24.397,-9.974225912
24.47,-8.984354863
24.536,-5.194643797
24.598,0.184682591
24.662,5.445920559
24.742,8.940324298
24.807,9.647271536
24.871,7.852777875
24.954,3.437969309
25.019,-2.058648155
25.082,-6.881254613
25.143,-9.528782677
25.223,-9.658043845
25.287,-7.295925242
25.351,-2.62256358
25.43,2.842850749
25.495,7.318471133
25.56,9.44192863
25.625,9.012077425
25.703,5.833457537
25.768,0.762416837
25.831,-4.529189516
25.91,-8.374330519
25.976,-9.622634579
26.04,-8.697443797
26.108,-5.107522341
26.183,0.072904599
26.246,5.185182107
26.31,8.595945892
26.39,9.330451794
26.455,7.649666445
26.518,3.421224106
26.598,-1.900432174
26.663,-6.574001074
26.728,-9.209915459
26.793,-9.331784837
26.87,-7.105060326
26.935,-2.597033169
27,2.677490493
27.078,7.022982713
27.143,9.122819217
27.207,8.749177596
27.271,5.699247316
27.351,0.814713313
27.415,-4.30554987
27.48,-8.084374764
27.559,-9.330331166
27.624,-8.44433484
27.688,-5.009466103
27.752,0.011564754
27.831,4.949136816
27.896,8.285500298
27.96,9.031161269
28.039,7.415317462
28.103,3.356628332
28.167,-1.790225066
28.232,-6.341130566
28.311,-8.889790264
28.377,-9.032316376
28.444,-6.908065523
28.52,-2.581813392
28.587,2.527129211
28.655,6.768650254
28.732,8.826142187
28.797,8.4725369
28.862,5.542876071
28.927,0.814529412
29.003,-4.138120474
29.068,-7.784537035
29.135,-8.989543956
29.206,-8.180551938
29.271,-4.849956241
29.334,-0.015667743
29.399,4.761110713
29.479,8.022398343
29.546,8.750883228
29.61,7.200112765
29.686,3.266323466
29.751,-1.706273312
29.815,-6.123982836
29.881,-8.598668374
29.958,-8.764825747
30.031,-6.697328536
30.095,-2.513889482
30.167,2.433079672
30.232,6.558648826
30.296,8.561268286
30.362,8.221246177
30.438,5.376830153
30.502,0.793324978
30.566,-4.00286973
30.646,-7.556607999
30.71,-8.740629417
30.776,-7.927594097
30.84,-4.726842768
30.918,-0.032468564
30.984,4.61720766
31.059,7.782806771
31.126,8.482652801
31.19,6.983940436
31.255,3.171392925
31.334,-1.659141949
31.4,-5.930568785
31.464,-8.348760051
31.529,-8.514509107
31.606,-6.487895736
31.671,-2.425227644
31.737,2.377040159
31.814,6.374664102
31.88,8.304682126
31.945,7.976473881
32.012,5.208536416
32.087,0.756677274
32.151,-3.910534803
32.214,-7.341130832
32.294,-8.473727448
32.358,-7.705531184
32.424,-4.564882429
32.487,-0.006087394
32.566,4.501051812
32.632,7.564743749
32.696,8.249190669
32.774,6.76843801
32.84,3.05408104
32.902,-1.646026824
32.966,-5.784081285
33.047,-8.117871008
33.112,-8.268520743
33.178,-6.290804519
33.255,-2.330799769
33.321,2.333827025
33.384,6.209453416
33.462,8.076648542
33.528,7.739630263
33.593,5.021605608
33.659,0.689392763
33.735,-3.831610682
33.801,-7.161746096
33.867,-8.267902268
33.944,-7.483398677
34.019,-4.410470074
34.089,0.025553934
34.22,7.37703749
34.288,8.033215709
34.352,6.55416223
34.422,2.926554997
34.487,-1.66551565
34.552,-5.682304562
34.617,-7.92144794
34.694,-8.026278906
34.759,-6.090180929
34.825,-2.226584178
34.902,2.320487995
34.966,6.068049689
35.03,7.870971624
35.096,7.516312458
35.174,4.851921947
35.24,0.613181591
35.308,-3.785568475
35.382,-7.012926579
35.447,-8.038309012
35.511,-7.258068552
35.577,-4.242216648
35.654,0.084871226
35.718,4.340536107
35.785,7.213714933
