date,sunspot
5/11/1974,43.28571
5/18/1974,74.28571
5/25/1974,28.71429
6/1/1974,31.14286
6/8/1974,95.28571
6/15/1974,41.28571
6/22/1974,3.42857
6/29/1974,14
7/6/1974,51
7/13/1974,53.85714
7/20/1974,28.28571
7/27/1974,12
8/3/1974,63.42857
8/10/1974,59
8/17/1974,42.28571
8/24/1974,55.14286
8/31/1974,46.14286
9/7/1974,23.14286
9/14/1974,58
9/21/1974,41.42857
9/28/1974,17.85714
10/5/1974,18.85714
10/12/1974,58.71429
10/19/1974,65.85714
10/26/1974,12.28571
11/2/1974,42.57143
11/9/1974,90
11/16/1974,65.42857
11/23/1974,10.14286
11/30/1974,20.14286
12/7/1974,30.28571
12/14/1974,17.14286
12/21/1974,26.85714
12/28/1974,30.71429
1/4/1975,8
1/11/1975,10.85714
1/18/1975,36.42857
1/25/1975,26.85714
2/1/1975,19.42857
2/8/1975,26.14286
2/15/1975,24.85714
2/22/1975,18
3/1/1975,6
3/8/1975,16.85714
3/15/1975,20.42857
3/23/1975,4.42857
3/30/1975,4.14286
4/6/1975,9.14286
4/13/1975,16.14286
4/20/1975,22.14286
4/27/1975,2.28571
5/4/1975,1.14286
5/11/1975,6.57143
5/18/1975,0
5/26/1975,2.14286
6/2/1975,17
6/9/1975,23.28571
6/16/1975,3.14286
6/23/1975,3.42857
6/30/1975,5
7/8/1975,6.85714
7/15/1975,2.28571
7/22/1975,10.14286
7/29/1975,13.71429
8/5/1975,26
8/12/1975,21.85714
8/19/1975,36.85714
8/26/1975,28.85714
9/2/1975,28.42857
9/9/1975,70.85714
9/16/1975,65
9/23/1975,20.71429
9/30/1975,12
10/7/1975,18.57143
10/14/1975,19
10/21/1975,15.14286
10/28/1975,13.28571
11/4/1975,4.28571
11/11/1975,11
11/18/1975,16
11/26/1975,9.14286
12/3/1975,1
12/10/1975,10.57143
12/17/1975,27.85714
12/24/1975,31.28571
12/31/1975,13.28571
1/7/1976,10.42857
1/14/1976,12.14286
1/21/1976,5.42857
1/28/1976,5.57143
2/4/1976,1.14286
2/11/1976,0
2/18/1976,14.28571
2/25/1976,17
3/3/1976,3.57143
3/10/1976,1.14286
3/17/1976,0
3/24/1976,13
3/31/1976,3.85714
4/7/1976,1
4/14/1976,9.14286
4/21/1976,21.14286
4/28/1976,35
5/5/1976,35
5/12/1976,11.14286
5/19/1976,15
5/26/1976,26
6/2/1976,20.57143
6/9/1976,21.28571
6/16/1976,13.28571
6/23/1976,17.85714
6/30/1976,7.14286
7/7/1976,0
7/14/1976,3.85714
7/21/1976,12.71429
7/28/1976,25
8/4/1976,12.14286
8/11/1976,7.28571
8/18/1976,0
8/25/1976,0
9/1/1976,0
9/8/1976,10.28571
9/15/1976,24.42857
9/22/1976,18.57143
9/29/1976,13.28571
10/6/1976,11.42857
10/13/1976,12.28571
10/20/1976,17.71429
10/27/1976,4.28571
11/3/1976,18.42857
11/10/1976,28.14286
11/17/1976,10.57143
11/24/1976,23.14286
12/1/1976,26
12/8/1976,3.28571
12/15/1976,0
12/22/1976,6.85714
12/29/1976,10.85714
1/5/1977,4.71429
1/12/1977,6.85714
1/19/1977,24.42857
1/26/1977,15.42857
2/2/1977,19.28571
2/9/1977,21.57143
2/16/1977,8.42857
2/23/1977,18.14286
3/2/1977,20.28571
3/9/1977,13.57143
3/16/1977,17.14286
3/23/1977,49.42857
3/30/1977,15.85714
4/6/1977,4.57143
4/13/1977,13.14286
4/20/1977,8
4/27/1977,3.71429
5/4/1977,11.28571
5/11/1977,8.14286
5/18/1977,8.28571
5/25/1977,25
6/1/1977,11.14286
6/8/1977,15.85714
6/15/1977,24.28571
6/22/1977,20.28571
6/29/1977,7.57143
7/6/1977,29.42857
7/13/1977,40.42857
7/20/1977,19.85714
7/27/1977,29.71429
8/3/1977,62.71429
8/10/1977,39
8/17/1977,13.42857
8/24/1977,3.28571
8/31/1977,34
9/7/1977,15.57143
9/14/1977,25.71429
9/21/1977,37.85714
9/28/1977,28.28571
10/5/1977,33.85714
10/12/1977,24.57143
10/19/1977,44.85714
10/26/1977,55.42857
11/2/1977,51.85714
11/9/1977,48.14286
11/16/1977,44
11/23/1977,52
11/30/1977,33.14286
12/7/1977,40.71429
12/14/1977,27.28571
12/21/1977,35.85714
12/28/1977,35.14286
1/4/1978,13.57143
1/11/1978,44.85714
1/18/1978,55.42857
1/25/1978,29.14286
2/1/1978,40.42857
2/8/1978,87.57143
2/15/1978,38.57143
2/22/1978,25.57143
3/1/1978,31.71429
3/8/1978,100.57143
3/15/1978,121
3/22/1978,90.85714
3/29/1978,63.28571
4/5/1978,91.71429
4/12/1978,90.71429
4/19/1978,78.71429
4/26/1978,74.42857
5/3/1978,59
5/10/1978,75.42857
5/17/1978,111.14286
5/24/1978,100.57143
5/31/1978,114.85714
6/7/1978,85
6/14/1978,71
6/21/1978,79.71429
6/28/1978,78.28571
7/5/1978,102.85714
7/12/1978,57.42857
7/19/1978,57
7/26/1978,120.28571
8/2/1978,141
8/9/1978,63.42857
8/16/1978,109.14286
8/23/1978,93.71429
8/30/1978,38
9/6/1978,40.28571
9/13/1978,64.71429
9/20/1978,70.57143
9/27/1978,40.14286
10/4/1978,63.57143
10/11/1978,160.71429
10/18/1978,98.42857
10/25/1978,151.57143
11/1/1978,150.71429
11/8/1978,100.28571
11/15/1978,122.57143
11/22/1978,155.28571
11/29/1978,119.71429
12/6/1978,119.85714
12/13/1978,117.28571
